"Item","Price1","Price2","Price3","Price4","Price5","Price6","Price 7","Price8"
"Adamant bolts",114,114,110,110,109,114,114,114
"Adamant bolts (unf)",126,122,122,122,124,124,124,124
"Adamant brutal",369,369,369,369,364,364,364,364
"Adamant Bull Rush scroll...",208,208,208,208,208,208,208,208
"Adamant cane",705400,705400,739600,739600,775800,775800,775800,775800
"Adamant chainbody",17600,17600,17900,17900,17900,17900,17900,17900
"Adamant chainbody + 1",32200,32200,32200,32200,32200,32200,32200,32200
"Adamant chainbody + 2",32900,32900,32900,32900,32900,32900,32900,32900
"Adamant claws",11500,11500,11000,11000,11000,11000,11000,11000
"Adamant claws + 1",15100,15100,15100,15100,15100,15100,15100,15100
"Adamant claws + 2",38600,38600,38600,38600,38600,38600,38600,38600
"Adamant crossbow",9756,9756,9399,9399,9324,9046,9046,9046
"Adamant crossbow (u)",7969,7969,7969,7969,7969,7969,7969,7969
"Adamant dagger",12400,12400,12400,12400,12400,12400,12400,12400
"Adamant dagger + 1",13900,13900,13900,13900,13900,13900,13900,13900
"Adamant dagger + 2",31500,31500,31500,31500,31500,31500,31500,31500
"Adamant dart",46,46,46,46,46,48,48,48
"Adamant dart tip",215,215,215,215,215,215,215,215
"Adamant dragon mask",778100,778100,855500,855500,855500,896800,896800,896800
"Adamant fire arrows",292,292,396,396,396,396,396,396
"Adamant full helm",5476,5476,5530,5530,5530,5530,5530,5530
"Adamant full helm (g)",9364,9364,9364,9364,9364,9364,9364,9364
"Adamant full helm (t)",2283,2283,2283,2283,2283,2283,2283,2283
"Adamant full helm + 1",12300,12300,12300,12300,12300,12300,12300,12300
"Adamant full helm + 2",16000,16000,16000,16000,16200,16200,16200,16200
"Adamant gauntlets",2835,2835,2957,2957,2957,2957,2957,2957
"Adamant gauntlets + 1",6856,6856,6886,6886,6886,6886,6886,6886
"Adamant gauntlets + 2",5258,5126,5126,5126,5126,5126,5126,5126
"Adamant halberd",14400,14400,14400,14400,14900,14900,14900,14900
"Adamant hasta",7695,7695,7695,7695,7695,7695,7695,7695
"Adamant hatchet",10300,10300,10300,10300,10100,10100,10100,10100
"Adamant helm (h1)",722200,722200,757000,757000,793200,793200,793200,793200
"Adamant helm (h2)",669800,669800,702400,702400,702400,702400,702400,702400
"Adamant helm (h3)",675500,675500,707900,707900,707900,707900,707900,707900
"Adamant helm (h4)",648500,648500,678800,678800,678800,678800,678800,678800
"Adamant helm (h5)",657800,657800,689000,689000,689000,689000,689000,689000
"Adamant javelin",65,65,66,66,67,67,67,67
"Adamant kiteshield",17400,17400,18000,18000,18000,18000,18000,18000
"Adamant kiteshield (g)",8314,8314,8314,8314,8314,8314,8314,8314
"Adamant kiteshield (t)",7203,7203,7072,7072,7072,7072,7072,7072
"Adamant kiteshield + 1",15600,15600,16300,16300,16300,16300,16300,16300
"Adamant kiteshield + 2",32400,32400,32400,32400,32400,32400,32400,32400
"Adamant knife",361,361,361,361,361,361,361,361
"Adamant limbs",3571,3571,3571,3571,3571,3571,3571,3571
"Adamant longsword",13700,13700,13700,13700,13700,14200,14200,14200
"Adamant longsword + 1",8782,8782,8782,8782,8782,8782,8782,8782
"Adamant longsword + 2",34600,34600,34600,34600,34600,34600,34600,34600
"Adamant mace",12300,12300,12300,12300,12300,12300,12300,12300
"Adamant mace + 1",14500,14500,14500,14500,14500,14500,14500,14500
"Adamant mace + 2",37000,37000,37000,37000,37000,37000,37000,37000
"Adamant mattock",9505,9720,9720,9720,9720,9727,9727,9727
"Adamant med helm",8974,8974,8827,8827,8827,8827,8827,8827
"Adamant med helm + 1",13300,13300,13300,13300,13300,13300,13300,13300
"Adamant med helm + 2",10900,10900,10900,10900,10900,10900,10900,10900
"Adamant minotaur pouch",2702,2702,2702,2702,2702,2713,2713,2713
"Adamant nails",82,82,82,82,82,83,83,83
"Adamant off hand battlea...",13900,13900,13900,13900,13900,13900,13900,13900
"Adamant off hand claws",8696,8696,8696,8696,8696,8696,8696,8696
"Adamant off hand claws +...",32200,32200,32200,32200,32200,32200,32200,32200
"Adamant off hand dagger",8038,8038,8038,8038,8038,8038,8038,8038
"Adamant off hand dagger ...",13300,13300,58100,58100,58100,58100,58100,58100
"Adamant off hand longswo...",11600,11600,13900,13900,13900,13900,13900,13900
"Adamant off hand mace",8347,8347,8347,8347,8347,8347,8347,8347
"Adamant off hand mace + ...",17000,17000,13300,13300,13300,13300,13300,13300
"Adamant off hand scimita...",15700,15700,18000,18000,18000,18000,18000,18000
"Adamant off hand sword",9001,9001,9001,9001,9001,9022,9022,9022
"Adamant off hand sword +...",13300,13300,28600,28600,28600,28600,28600,28600
"Adamant off hand warhamm...",13300,13300,8377,8377,8377,8377,8377,8377
"Adamant ore box",32100,32100,32100,32100,32100,31100,31100,31100
"Adamant pickaxe",16100,16500,16500,16500,16700,16700,16700,16700
"Adamant pickaxe + 1",15000,15000,15000,15000,15600,15600,15600,15600
"Adamant pickaxe + 2",32200,32200,32200,32200,32500,32500,32500,32500
"Adamant platebody",19600,19600,19500,19500,19500,19900,19900,19900
"Adamant platebody (g)",13700,13400,13400,13400,13400,13400,13400,13400
"Adamant platebody (h1)",711300,711300,746100,746100,746100,746100,746100,746100
"Adamant platebody (h2)",642300,642300,672800,672800,672800,672800,672800,672800
"Adamant platebody (h3)",632100,632100,661700,661700,661700,661700,661700,661700
"Adamant platebody (h4)",659400,659400,690800,690800,690800,690800,690800,690800
"Adamant platebody (h5)",643300,643300,673700,673700,673700,673700,673700,673700
"Adamant platebody (t)",7435,7435,7435,7435,7435,7564,7564,7564
"Adamant platebody + 1",24500,24500,24500,24500,24600,24600,24600,24600
"Adamant platebody + 2",37200,37200,37200,37200,37000,37000,37000,37000
"Adamant platelegs",13500,13500,14000,14000,14000,14000,14000,14000
"Adamant platelegs (g)",9050,9050,9050,9050,9050,8801,8801,8801
"Adamant platelegs (h1)",677800,677800,677800,677800,677800,710900,710900,710900
"Adamant platelegs (h2)",635700,635700,665300,665300,665300,665300,665300,665300
"Adamant platelegs (h3)",638300,638300,668300,668300,668300,668300,668300,668300
"Adamant platelegs (h4)",657600,657600,657600,657600,689300,689300,689300,689300
"Adamant platelegs (h5)",619100,619100,648700,648700,648700,648700,648700,648700
"Adamant platelegs (t)",4874,4874,4874,4874,4874,4874,4874,4874
"Adamant platelegs + 1",20600,20600,20600,20600,20600,20600,20600,20600
"Adamant platelegs + 2",31500,30800,30800,30800,30800,30800,30800,30800
"Adamant plateskirt",12600,12600,12600,12600,12600,12600,12600,12600
"Adamant plateskirt (g)",4599,4464,4464,4464,4464,4464,4464,4464
"Adamant plateskirt (h1)",630700,630700,659500,659500,659500,659500,659500,659500
"Adamant plateskirt (h2)",638100,638100,638100,638100,638100,638100,638100,638100
"Adamant plateskirt (h3)",620200,620200,620200,620200,649100,649100,649100,649100
"Adamant plateskirt (h4)",620200,620200,620200,620200,620200,620200,620200,620200
"Adamant plateskirt (h5)",605700,605700,632800,632800,632800,632800,632800,632800
"Adamant plateskirt (t)",3994,3994,3994,3994,3994,3994,3994,3994
"Adamant plateskirt + 1",20400,20400,20400,20400,20400,20400,20400,20400
"Adamant plateskirt + 2",30200,30200,30200,30200,30200,30200,30200,30200
"Adamant scimitar",16900,16900,17400,17400,17400,17400,17400,17400
"Adamant scimitar + 1",18800,18800,18800,18800,18800,18800,18800,18800
"Adamant scimitar + 2",52300,52300,52300,52300,52300,52300,52300,52300
"Adamant shield (h1)",656500,656500,656500,656500,688600,688600,688600,688600
"Adamant shield (h2)",630100,630100,660200,660200,660200,660200,660200,660200
"Adamant shield (h3)",641500,641500,669600,669600,669600,669600,669600,669600
"Adamant shield (h4)",623500,623500,651700,651700,651700,651700,651700,651700
"Adamant shield (h5)",616000,616000,642700,642700,642700,642700,642700,642700
"Adamant spear",12700,12700,12900,12900,12900,12900,12900,12900
"Adamant spikeshield 0",5805,5805,5805,5805,5805,5805,5805,5805
"Adamant square shield",15600,15600,15600,15600,15600,15600,15600,15600
"Adamant square shield + ...",30500,30500,30500,30500,30500,30500,30500,30500
"Adamant sword",17800,17800,17800,17800,17800,17800,17800,17800
"Adamant sword + 1",15100,15100,15100,15100,15100,15100,15100,15100
"Adamant sword + 2",37200,37200,37200,37200,37200,37200,37200,37200
"Adamant throwing axe",353,353,353,353,353,353,353,353
"Adamant warhammer",12600,12600,12600,12600,12600,12600,12600,12600
"Adamant warhammer + 1",6295,6295,6295,6295,6295,6295,6295,6295
"Adamant warhammer + 2",29500,29500,30300,30300,30300,30300,30300,30300
"Adamantite ore",229,229,229,229,228,239,239,239
"Adamantite stone spirit",41,41,41,41,41,40,40,40
"Admiral pie",3359,3359,3411,3411,3411,3411,3411,3411
"Adrenaline crystal",66100,66100,65100,65100,62000,60900,60900,60900
"Aerated sediment",1322,1322,1263,1263,1208,1157,1157,1157
"Aetherium alloy",5231,5231,4987,4987,4801,5013,5013,5013
"Aggression flask (1)",17300,17300,17300,17300,17300,17300,17300,17300
"Aggression flask (2)",15900,15900,16500,16500,16500,16500,16500,16500
"Aggression flask (3)",29200,29200,30500,30500,30500,30500,30500,30500
"Aggression flask (4)",58700,58700,58700,58700,58700,58700,58700,58700
"Aggression flask (5)",97100,97100,97100,97100,97100,100200,100200,100200
"Aggression flask (6)",175800,179400,180600,180600,179400,174600,174600,174600
"Aggression potion (1)",19700,19700,20400,20400,20400,20400,20400,20400
"Aggression potion (2)",40000,40000,40000,40000,40000,40000,40000,40000
"Aggression potion (3)",75900,79300,79300,79300,82100,82100,82100,82100
"Aggression potion (4)",110400,110400,111500,111500,113000,110000,110000,110000
"Agility flask (6)",9177,9177,9177,9177,9177,9177,9177,9177
"Agility mix (1)",550,550,550,550,550,550,550,550
"Agility mix (2)",358,358,358,358,358,358,358,358
"Agility potion (1)",128,128,127,127,127,128,128,128
"Agility potion (2)",372,372,372,372,372,372,372,372
"Agility potion (3)",578,578,578,578,569,569,569,569
"Agility potion (4)",828,828,824,824,824,824,824,824
"Ahrim's book of magic",1100000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Ahrim's book of magic (b...",180200,180200,180200,180200,180200,180200,180200,180200
"Ahrim's hood",651200,652500,652500,652500,652500,652500,652500,652500
"Ahrim's hood (broken)",77300,77300,77300,77300,77300,77300,77300,77300
"Ahrim's robe skirt",1e+06,1e+06,1100000,1100000,1100000,1100000,1100000,1100000
"Ahrim's robe skirt (brok...",612700,612700,612700,612700,612700,612700,612700,612700
"Ahrim's robe top",1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000
"Ahrim's robe top (broken...",1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000
"Ahrim's staff",4300000,4500000,4500000,4500000,4500000,4500000,4500000,4500000
"Ahrim's staff (broken)",1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000
"Ahrim's wand",704600,695000,695000,695000,695000,695000,695000,695000
"Ahrim's wand (broken)",300400,300400,300400,300400,300400,300400,300400,300400
"Air battlestaff",8001,7996,8097,8097,8051,8091,8091,8091
"Air orb",5857,5651,5155,5155,5180,5448,5448,5448
"Air rune",84,85,86,86,87,90,90,90
"Air talisman",621,621,594,594,565,574,574,574
"Air tiara",417,417,418,418,418,416,416,416
"Airtight pot",134,134,134,134,134,134,134,134
"Airut bones",7001,7106,6898,6898,7239,7266,7266,7266
"Akateko orokami mask",132000,132000,132000,132000,132000,132000,132000,132000
"Akkorokamui orokami mask...",148200,148200,148200,148200,148200,148200,148200,148200
"Akrisae's hood",384200,384200,384200,384200,384200,384200,384200,384200
"Akrisae's hood (broken)",64500,64500,64500,64500,64500,64500,64500,64500
"Akrisae's robe skirt",607500,607500,607500,607500,607500,607500,607500,607500
"Akrisae's robe skirt (br...",481100,481100,481100,481100,481100,481100,481100,481100
"Akrisae's robe top",1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000
"Akrisae's robe top (brok...",2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000
"Akrisae's war mace",377600,377600,377600,377600,377600,377600,377600,377600
"Akrisae's war mace (brok...",50400,50400,50400,50400,50400,50400,50400,50400
"Albino rat pouch",2298,2298,2298,2298,2298,2298,2298,2298
"Alchemical onyx",48500000,48500000,50600000,50600000,50600000,52700000,52700000,52700000
"Alchemical onyx necklace...",49200000,49200000,49200000,49200000,49200000,49200000,49200000,49200000
"Alchemical onyx ring",4.8e+07,4.8e+07,4.8e+07,4.8e+07,4.8e+07,4.8e+07,4.8e+07,4.8e+07
"Ale yeast",162,162,162,162,162,162,162,162
"Algarum thread",476400,476400,476400,476400,483200,483200,483200,483200
"Ambush scroll",380,380,380,380,380,380,380,380
"Amphibious jadinko (unch...",3100000,3100000,3100000,3100000,3100000,3100000,3100000,3100000
"Amulet mould",199,199,199,199,199,199,199,199
"Amulet of accuracy",5544,5544,5422,5422,5422,5422,5422,5422
"Amulet of bountiful harv...",737,737,737,737,737,737,737,737
"Amulet of defence",6697,6697,6697,6697,6411,6411,6411,6411
"Amulet of farming (1)",398,398,398,398,398,398,398,398
"Amulet of farming (8)",896,896,896,896,896,896,896,896
"Amulet of fury",2400000,2400000,2500000,2500000,2700000,2800000,2800000,2800000
"Amulet of fury (t)",1300000,1300000,1400000,1400000,1500000,1500000,1500000,1500000
"Amulet of glory",10300,10300,10300,10300,10300,10700,10700,10700
"Amulet of glory (4)",13200,13200,12800,12800,12600,12600,12600,12600
"Amulet of glory (t)",631200,631200,662100,662100,662100,662100,662100,662100
"Amulet of glory (t4)",744200,744200,776800,776800,776800,776800,776800,776800
"Amulet of magic",2023,2023,1973,1973,1953,1923,1923,1923
"Amulet of magic (t)",747400,747400,783100,783100,783100,821700,821700,821700
"Amulet of power",8024,8024,7729,7729,7509,7157,7157,7157
"Amulet of ranging",55400,57500,57500,57500,60300,60300,60300,60300
"Amulet of souls",2.8e+07,2.8e+07,30800000,30800000,32200000,33600000,33600000,33600000
"Amulet of strength",4089,3924,3962,3962,3915,3852,3852,3852
"Amulet of the forsaken",33300000,31900000,31900000,31900000,30700000,30700000,30700000,30700000
"Anchovies",30,30,30,30,30,31,31,31
"Anchovy oil",618,618,618,618,618,618,618,618
"Anchovy paste",14,14,14,14,14,14,14,14
"Anchovy pizza",580,580,577,577,577,577,577,577
"Ancient ceremonial boots...",4669,4669,4669,4669,4644,4644,4644,4644
"Ancient ceremonial glove...",4934,4934,4962,4962,4962,4962,4962,4962
"Ancient ceremonial legs",43500,43500,43500,43500,43500,43700,43700,43700
"Ancient ceremonial mask",7526,7526,7550,7550,7550,7550,7550,7550
"Ancient ceremonial robes...",362000,362000,362000,362000,350800,350800,350800,350800
"Ancient ceremonial top",65700,65700,65700,65700,65600,65600,65600,65600
"Ancient cloak",763300,763300,800800,800800,840200,840200,840200,840200
"Ancient crozier",747500,747500,782800,782800,821400,821400,821400,821400
"Ancient elven ritual sha...",16800000,1.6e+07,15300000,15300000,15300000,14500000,14500000,14500000
"Ancient gravel",102,106,106,106,106,108,108,108
"Ancient mace",1405,1405,1405,1405,1405,1405,1405,1405
"Ancient mitre",733200,733200,769100,769100,807100,807100,807100,807100
"Ancient page 1",28900,28900,28500,28500,28100,27800,27800,27800
"Ancient page 2",25100,25100,25000,25000,24400,24400,24400,24400
"Ancient page 3",23800,23800,23400,23400,23400,22900,22900,22900
"Ancient page 4",23700,23700,23400,23400,23000,23000,23000,23000
"Ancient robe legs",644900,644900,674900,674900,674900,674900,674900,674900
"Ancient robe top",654100,654100,685100,685100,685100,685100,685100,685100
"Ancient scale",719400,713600,702800,702800,684500,688600,688600,688600
"Ancient staff",136000,136000,136000,136000,135100,135100,135100,135100
"Ancient stole",751700,751700,788900,788900,828000,828000,828000,828000
"Ancient vis",4166,4166,3913,3913,3823,4146,4146,4146
"Ancient warriors' equipm...",9200000,9200000,8800000,8800000,8800000,8800000,8800000,8800000
"Anima Core body of Seren...",2.2e+07,2.2e+07,2.2e+07,2.2e+07,21400000,21400000,21400000,21400000
"Anima Core body of Slisk...",14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000
"Anima Core body of Zamor...",14300000,14300000,14300000,14300000,14500000,14500000,14500000,14500000
"Anima Core Body of Zaros...",37200000,38800000,38800000,38800000,38800000,37500000,37500000,37500000
"Anima Core helm of Seren...",22100000,22100000,22100000,22100000,22100000,22100000,22100000,22100000
"Anima Core helm of Slisk...",15200000,15200000,15200000,15200000,15200000,15200000,15200000,15200000
"Anima Core helm of Zamor...",1.4e+07,1.4e+07,1.4e+07,1.4e+07,14200000,14200000,14200000,14200000
"Anima Core helm of Zaros...",3.5e+07,3.5e+07,3.5e+07,3.5e+07,3.5e+07,3.5e+07,3.5e+07,3.5e+07
"Anima Core legs of Seren...",21500000,21500000,21500000,21500000,21500000,20800000,20800000,20800000
"Anima Core legs of Slisk...",15100000,15100000,15100000,15100000,14600000,14600000,14600000,14600000
"Anima Core legs of Zamor...",14100000,14100000,14100000,14100000,14100000,14300000,14300000,14300000
"Anima Core Legs of Zaros...",38900000,38900000,38900000,38900000,37900000,37900000,37900000,37900000
"Animal furs",1682,1682,1752,1752,1773,1793,1793,1793
"Annakarl teleport",5423,5423,5423,5423,5423,5423,5423,5423
"Annihilate scroll",10700,10700,10700,10700,10700,10700,10700,10700
"Annihilation",37200000,37200000,37200000,37200000,37200000,37200000,37200000,37200000
"Anti-dragon shield",1891,1891,1939,1939,1939,1987,1987,1987
"Antifire (1)",3034,3034,3089,3089,3089,3089,3089,3089
"Antifire (2)",7451,7451,7451,7451,7451,7610,7610,7610
"Antifire (3)",6928,6928,7005,7005,7325,7600,7600,7600
"Antifire (4)",10200,10100,9891,9891,10100,10700,10700,10700
"Antifire flask (6)",25600,24300,23100,23100,23100,23100,23100,23100
"Antifire mix (1)",1530,1530,1530,1530,1530,1530,1530,1530
"Antifire mix (2)",3043,3043,3043,3043,3043,3043,3043,3043
"Antipoison (1)",166,169,169,169,169,169,169,169
"Antipoison (2)",201,201,201,201,201,201,201,201
"Antipoison (3)",346,346,343,343,343,343,343,343
"Antipoison (4)",590,590,563,563,563,556,556,556
"Antipoison flask (6)",9562,9562,9653,9653,9653,9653,9653,9653
"Antipoison mix (1)",613,613,613,613,613,613,613,613
"Antipoison mix (2)",305,305,305,305,305,305,305,305
"Antipoison+ (1)",789,789,789,789,789,789,789,789
"Antipoison+ (2)",1264,1264,1264,1264,1264,1264,1264,1264
"Antipoison+ (3)",3536,3536,3536,3536,3536,3536,3536,3536
"Antipoison+ (4)",5234,5234,5234,5234,5234,5234,5234,5234
"Antipoison+ flask (6)",27500,27500,27500,27500,27500,27500,27500,27500
"Antipoison+ mix (1)",1026,1026,1026,1026,1026,1026,1026,1026
"Antipoison+ mix (2)",1219,1219,1219,1219,1219,1219,1219,1219
"Antipoison++ (1)",993,993,993,993,993,993,993,993
"Antipoison++ (2)",2186,2186,2186,2186,2186,2186,2186,2186
"Antipoison++ (3)",3937,3937,3937,3937,3937,3937,3937,3937
"Antipoison++ (4)",3586,3586,3494,3494,3494,3382,3382,3382
"Antipoison++ flask (6)",17200,17200,17600,17600,17600,17600,17600,17600
"Antlers",149,149,149,149,149,149,149,149
"Apple mush",3817,3817,3817,3817,3817,3817,3817,3817
"Apple parasol",16800000,16800000,16800000,16800000,16800000,16800000,16800000,16800000
"Apple pie",213,213,213,213,213,213,213,213
"Apple tree seed",161,170,179,179,183,189,189,189
"Apples (5)",3613,3613,3613,3613,3613,3672,3672,3672
"Apprentice wand",108500,108500,108500,108500,108500,108500,108500,108500
"Aquatic jadinko (uncheck...",2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000
"Araxyte arrow",180,180,176,176,178,182,182,182
"Araxyte pheromone",1600000,1600000,1700000,1700000,1700000,1700000,1700000,1700000
"Arbuck potion (unf)",12500,12500,11900,11900,11900,11900,11900,11900
"Arbuck seed",11300,10800,9888,9888,9468,8672,8672,8672
"Arcane apoterrasaur (unc...",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Arcane apoterrasaur irat...",1175,1175,1231,1231,1231,1231,1231,1231
"Arcane apoterrasaur meat...",4439,4439,4439,4439,4439,4439,4439,4439
"Arcane apoterrasaur natu...",1187,1187,1187,1187,1187,1187,1187,1187
"Arcane sigil",4800000,4800000,4800000,4800000,4800000,4800000,4800000,4800000
"Arcane sigil shard",24100,24100,24100,24100,24100,24100,24100,24100
"Arcane spirit shield",8300000,8300000,8300000,8300000,8300000,8300000,8300000,8300000
"Archaeology teleport",110300,110300,110300,110300,110300,110300,110300,110300
"Archer helm",44100,44100,44000,44000,44000,44000,44000,44000
"Archers' ring",101800,106200,106200,106200,111200,111200,111200,111200
"Archers' ring shard",469,469,469,469,469,469,469,469
"Archery ticket",21,21,23,23,23,23,23,23
"Arcspore zygomite (unche...",324400,324400,324400,324400,324400,314100,314100,314100
"Arctic bear pouch",2210,2210,2210,2210,2144,2144,2144,2144
"Arctic Blast scroll",104,104,104,104,104,104,104,104
"Arctic pine logs",349,349,361,361,361,361,361,361
"Arctic pyre logs",10100,10100,10100,10100,10100,10100,10100,10100
"Ardougne teleport",4607,4754,4952,4952,4952,5194,5194,5194
"Argway potion (unf)",1474,1474,1474,1474,1474,1474,1474,1474
"Armadyl armour set",28400000,28400000,29200000,29200000,29200000,29200000,29200000,29200000
"Armadyl battlestaff",1.9e+07,1.9e+07,2e+07,2e+07,2e+07,20900000,20900000,20900000
"Armadyl boots",3200000,3200000,3400000,3400000,3400000,3400000,3400000,3400000
"Armadyl buckler",2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000
"Armadyl buckler shard",240,240,240,240,240,240,240,240
"Armadyl chainskirt",7100000,7100000,7300000,7300000,7300000,7200000,7200000,7200000
"Armadyl chainskirt shard...",25500,25500,25500,25500,25500,25500,25500,25500
"Armadyl chestplate",8e+06,8e+06,8300000,8300000,8400000,8300000,8300000,8300000
"Armadyl chestplate shard...",1575,1575,1575,1575,1575,1575,1575,1575
"Armadyl cloak",780600,780600,819000,819000,859100,859100,859100,859100
"Armadyl crossbow",4800000,4800000,5e+06,5e+06,5e+06,5100000,5100000,5100000
"Armadyl crossbow shard",16800,16800,16800,16800,16800,16800,16800,16800
"Armadyl crozier",772400,772400,810300,810300,810300,850400,850400,850400
"Armadyl gloves",3100000,3100000,3100000,3100000,3200000,3100000,3100000,3100000
"Armadyl godsword",5300000,5300000,5500000,5500000,5500000,5300000,5300000,5300000
"Armadyl helmet",2900000,2900000,3e+06,3e+06,3e+06,2900000,2900000,2900000
"Armadyl helmet shard",5122,5122,5122,5122,5122,5122,5122,5122
"Armadyl hilt",4500000,4500000,4600000,4600000,4600000,4600000,4600000,4600000
"Armadyl hilt shard",12900,12900,12900,12900,12900,12900,12900,12900
"Armadyl mitre",756800,756800,791300,791300,791300,830200,830200,830200
"Armadyl page 1",766500,766500,740400,740400,716800,706500,706500,706500
"Armadyl page 2",744700,744700,713900,713900,686500,674700,674700,674700
"Armadyl page 3",748400,748400,718200,718200,685200,667400,667400,667400
"Armadyl page 4",740000,740000,721900,721900,692100,667100,667100,667100
"Armadyl robe legs",620500,620500,648200,648200,648200,648200,648200,648200
"Armadyl robe top",635200,635200,661900,661900,661900,661900,661900,661900
"Armadyl rune",374,374,392,392,392,392,392,392
"Armadyl stole",753600,753600,791000,791000,829900,829900,829900,829900
"Armadylean yellow",5740,5740,5995,5995,6246,6379,6379,6379
"Arrow shaft",16,16,14,14,14,13,13,13
"Arrowstorm drape",1528,1528,1495,1495,1495,1495,1495,1495
"Arthur companion pet tok...",787200,787200,952500,952500,952500,952500,952500,952500
"Ascendri bolts",9216,9216,9216,9216,9216,9216,9216,9216
"Ascendri bolts (e)",9451,9454,9425,9425,9403,9400,9400,9400
"Ascension bolts",124,124,118,118,113,111,111,111
